index,deltaTmsec,cumulativeTmsec,d_battery_v,d_tps_pct,d_eng_temp,d_iat,d_eng_temp_v,d_iat_v,d_tps1_v,d_tps2_v,d_idle_set_spd,d_eng_speed,d_adv_rear,d_adv_front,d_twist_pct,d_map_v,d_twist1_v,d_twist2_v,d_lamda_desired,d_iac_pos,d_map,d_inj_pw_front,d_inj_pw_rear,d_spk_nock_f,d_spk_nock_r,d_front_o2,d_rear_o2,d_front_cli,d_rear_cli,d_front_aff,d_rear_aff,d_veh_speed,d_ve_front,d_new_ve_front,d_new_ve_rear,d_ve_rear,d_knkevt_f,d_knkevt_r,d_knkint_f,d_knkint_r,O2Front,O2Rear
0,0,0,13.90000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1570,19.5,15.5,0,1.484375,1.07421875,4.04296875,0.917311996,42,15.59375,1.944000092,1.716000082,0,0,0.079999998,0.219999995,100,100,96.09375,94.53125,47,85.5,82.5,78,82,0,0,1.900000028,1.100000016,15.69,14.72
1,70,0,13.90000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1570,19.5,15.5,0,1.484375,1.07421875,4.04296875,0.917311996,42,15.59375,1.944000092,1.716000082,0,0,0.079999998,0.219999995,100,100,96.09375,94.53125,47,85.5,82.5,78,82,0,0,1.900000028,1.100000016,15.69,14.72
2,120,120,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1513,19,15,0,1.38671875,1.2109375,3.90625,0.922447996,42,15.3125,1.90400009,1.68400008,0,0,0.819999982,0.639999986,100,100,96.09375,94.53125,46,86.5,82.5,78,83,0,0,1.300000019,1.100000016,13.92,14.64
3,120,240,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1513,19,15,0,1.38671875,1.2109375,3.90625,0.922447996,42,15.3125,1.90400009,1.68400008,0,0,0.819999982,0.639999986,100,100,96.09375,94.53125,46,86.5,82.5,78,83,0,0,1.300000019,1.100000016,13.92,14.64
4,120,360,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1513,19,15,0,1.38671875,1.2109375,3.90625,0.922447996,42,15.3125,1.90400009,1.68400008,0,0,0.819999982,0.639999986,100,100,96.09375,94.53125,46,86.5,82.5,78,83,0,0,1.300000019,1.100000016,13.92,14.64
5,120,480,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1497,19,15,0,1.1328125,1.19140625,3.90625,0.924159996,42,16.09375,2.004000095,1.788000085,0,0,0.079999998,0.079999998,100,100,96.09375,94.53125,45,86.5,83,78.5,83,0,0,1.700000025,1.200000018,15.69,15.69
6,120,600,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1497,19,15,0,1.1328125,1.19140625,3.90625,0.924159996,42,16.09375,2.004000095,1.788000085,0,0,0.079999998,0.079999998,100,100,96.09375,94.53125,45,86.5,83,78.5,83,0,0,1.700000025,1.200000018,15.69,15.69
7,120,720,14.00000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1497,19,15,0,1.1328125,1.19140625,3.90625,0.924159996,42,16.09375,2.004000095,1.788000085,0,0,0.079999998,0.079999998,100,100,96.09375,94.53125,45,86.5,83,78.5,83,0,0,1.700000025,1.200000018,15.69,15.69
8,120,840,14.10000021,4.090499908,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1470,19,15,0,1.50390625,1.2109375,3.90625,0.924159996,42,15.53125,1.944000092,1.744000083,0,0,0.779999983,0.079999998,100,100,96.09375,94.53125,45,87,83.5,79,83.5,0,0,1.700000025,1.000000015,14.43,15.69
9,120,960,14.10000021,4.090499908,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1470,19,15,0,1.50390625,1.2109375,3.90625,0.924159996,42,15.53125,1.944000092,1.744000083,0,0,0.779999983,0.079999998,100,100,96.09375,94.53125,45,87,83.5,79,83.5,0,0,1.700000025,1.000000015,14.43,15.69
10,120,1080,14.10000021,4.090499908,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1470,19,15,0,1.50390625,1.2109375,3.90625,0.924159996,42,15.53125,1.944000092,1.744000083,0,0,0.779999983,0.079999998,100,100,96.09375,94.53125,45,87,83.5,79,83.5,0,0,1.700000025,1.000000015,14.43,15.69
11,120,1200,13.90000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1440,19,15,0,1.11328125,1.2109375,3.90625,0.924159996,42,15.5625,1.960000093,1.764000084,0,0,0.779999983,0.099999998,100,100,96.09375,94.53125,44,87.5,84,79.5,84,0,0,1.500000022,1.100000016,14.43,15
12,120,1320,13.90000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1440,19,15,0,1.11328125,1.2109375,3.90625,0.924159996,42,15.5625,1.960000093,1.764000084,0,0,0.779999983,0.099999998,100,100,96.09375,94.53125,44,87.5,84,79.5,84,0,0,1.500000022,1.100000016,14.43,15
13,120,1440,13.90000021,4.544999897,113,58,1.6015625,1.97265625,0.64453125,4.3359375,1000,1440,19,15,0,1.11328125,1.2109375,3.90625,0.924159996,42,15.5625,1.960000093,1.764000084,0,0,0.779999983,0.099999998,100,100,96.09375,94.53125,44,87.5,84,79.5,84,0,0,1.500000022,1.100000016,14.43,15
14,120,1560,13.90000021,4.544999897,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1406,19,15,0,1.38671875,1.2109375,3.90625,0.924159996,42,16.1875,2.052000097,1.836000087,0,0,0.699999984,0.059999999,100,100,96.09375,94.53125,43,88,84.5,80,84.5,0,0,1.500000022,1.100000016,14.62,16.85
15,120,1680,13.90000021,4.544999897,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1406,19,15,0,1.38671875,1.2109375,3.90625,0.924159996,42,16.1875,2.052000097,1.836000087,0,0,0.699999984,0.059999999,100,100,96.09375,94.53125,43,88,84.5,80,84.5,0,0,1.500000022,1.100000016,14.62,16.85
16,120,1800,13.90000021,4.544999897,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1406,19,15,0,1.38671875,1.2109375,3.90625,0.924159996,42,16.1875,2.052000097,1.836000087,0,0,0.699999984,0.059999999,100,100,96.09375,94.53125,43,88,84.5,80,84.5,0,0,1.500000022,1.100000016,14.62,16.85
17,120,1920,13.90000021,4.544999897,113,58,1.6015625,1.953125,0.64453125,4.3359375,1000,1406,19,15,0,1.38671875,1.2109375,3.90625,0.924159996,42,16.1875,2.052000097,1.836000087,0,0,0.699999984,0.059999999,100,100,96.09375,94.53125,43,88,84.5,80,84.5,0,0,1.500000022,1.100000016,14.62,16.85
18,120,2040,13.90000021,4.544999897,113,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1379,19,15,0,1.2890625,1.2109375,3.90625,0.924159996,42,16.34375,2.084000099,1.844000088,0,0,0.279999994,0.099999998,100,100,96.875,95.3125,42,88,85,80.5,84.5,0,0,1.400000021,1.100000016,14.71,15
19,120,2160,13.90000021,4.544999897,113,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1379,19,15,0,1.2890625,1.2109375,3.90625,0.924159996,42,16.34375,2.084000099,1.844000088,0,0,0.279999994,0.099999998,100,100,96.875,95.3125,42,88,85,80.5,84.5,0,0,1.400000021,1.100000016,14.71,15
20,120,2280,13.90000021,4.544999897,113,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1379,19,15,0,1.2890625,1.2109375,3.90625,0.924159996,42,16.34375,2.084000099,1.844000088,0,0,0.279999994,0.099999998,100,100,96.875,95.3125,42,88,85,80.5,84.5,0,0,1.400000021,1.100000016,14.71,15
21,120,2400,13.90000021,4.090499908,114,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1353,19,15,0,1.171875,1.2109375,3.90625,0.924159996,42,16.75,2.144000102,1.908000091,0,0,0.699999984,0.079999998,100,100,96.875,95.3125,41,88.5,85.5,81,85,0,0,1.100000016,0.900000013,14.62,15.69
22,120,2520,13.90000021,4.090499908,114,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1353,19,15,0,1.171875,1.2109375,3.90625,0.924159996,42,16.75,2.144000102,1.908000091,0,0,0.699999984,0.079999998,100,100,96.875,95.3125,41,88.5,85.5,81,85,0,0,1.100000016,0.900000013,14.62,15.69
23,120,2640,13.90000021,4.090499908,114,59,1.6015625,1.953125,0.64453125,4.3359375,1000,1353,19,15,0,1.171875,1.2109375,3.90625,0.924159996,42,16.75,2.144000102,1.908000091,0,0,0.699999984,0.079999998,100,100,96.875,95.3125,41,88.5,85.5,81,85,0,0,1.100000016,0.900000013,14.62,15.69
24,120,2760,14.10000021,8.180999815,114,59,1.6015625,1.953125,0.80078125,4.1796875,1000,1342,24.5,20.5,4.706399918,2.67578125,1.40625,3.6328125,0.924159996,42,20.46875,2.336000111,2.260000107,0,0,0.099999998,0.139999997,100,100,96.875,95.3125,40,92,89,86.5,90.5,0,0,1.600000024,0.800000012,15,14.77
25,120,2880,14.10000021,8.180999815,114,59,1.6015625,1.953125,0.80078125,4.1796875,1000,1342,24.5,20.5,4.706399918,2.67578125,1.40625,3.6328125,0.924159996,42,20.46875,2.336000111,2.260000107,0,0,0.099999998,0.139999997,100,100,96.875,95.3125,40,92,89,86.5,90.5,0,0,1.600000024,0.800000012,15,14.77
26,120,3000,14.10000021,8.180999815,114,59,1.6015625,1.953125,0.80078125,4.1796875,1000,1342,24.5,20.5,4.706399918,2.67578125,1.40625,3.6328125,0.924159996,42,20.46875,2.336000111,2.260000107,0,0,0.099999998,0.139999997,100,100,96.875,95.3125,40,92,89,86.5,90.5,0,0,1.600000024,0.800000012,15,14.77
27,120,3120,14.10000021,8.635499805,114,59,1.6015625,1.953125,0.80078125,4.1796875,1000,1377,24.5,23,7.45179987,2.96875,1.5234375,3.53515625,0.924159996,42,35.34375,5.220000248,4.148000197,0,0,0.759999983,0.119999997,100,100,97.65625,95.3125,41,96,93.5,90,94.5,0,0,1.700000025,1.000000015,14.53,14.83
